,Date,Price,Open,High,Low,Vol.,Change %,day_of_year,score
34,2024-05-13,"62,937.2","61,480.5","63,443.2","60,779.0",70.55K,2.37%,134,0.2486875980054086
35,2024-05-12,"61,480.0","60,826.6","61,847.7","60,647.1",27.40K,1.07%,133,0.22285782837186
36,2024-05-11,"60,826.6","60,796.8","61,487.5","60,499.3",27.50K,0.05%,132,0.2413893018912971
37,2024-05-10,"60,796.9","63,074.3","63,454.3","60,251.8",79.33K,-3.61%,131,0.2768176058160427
38,2024-05-09,"63,075.0","61,207.3","63,413.3","60,671.4",64.22K,3.05%,130,0.2861377114049008
39,2024-05-08,"61,207.5","62,304.9","62,997.4","60,894.2",56.47K,-1.78%,129,0.235776671453789
40,2024-05-07,"62,317.7","63,163.1","64,361.0","62,294.1",59.74K,-1.34%,128,0.1910501928208596
41,2024-05-06,"63,163.1","64,005.8","65,448.8","62,730.7",77.68K,-1.32%,127,0.2632852875831075
42,2024-05-05,"64,006.4","63,897.7","64,587.2","62,923.9",40.51K,0.18%,126,0.2209957964932614
43,2024-05-04,"63,888.3","62,887.1","64,466.0","62,599.1",53.03K,1.61%,125,0.2239750205245188
44,2024-05-03,"62,877.5","59,104.3","63,298.4","58,830.8",100.46K,6.35%,124,0.2221518616117392
45,2024-05-02,"59,121.3","58,334.9","59,548.0","56,989.8",98.06K,1.35%,123,0.263862530214161
46,2024-05-01,"58,331.2","60,665.0","60,827.5","56,643.5",171.55K,-3.85%,122,0.2134581581035217
47,2024-04-30,"60,666.6","63,852.4","64,700.2","59,228.7",121.04K,-5.00%,121,0.2335764014762129
48,2024-04-29,"63,860.1","63,113.7","64,193.1","61,837.2",67.26K,1.19%,120,0.210442880372059
49,2024-04-28,"63,109.7","63,457.9","64,346.1","62,827.8",36.65K,-0.55%,119,0.1621832638348466
50,2024-04-27,"63,456.8","63,765.8","63,916.7","62,507.7",45.34K,-0.49%,118,0.2212905890513858
51,2024-04-26,"63,766.4","64,497.1","64,771.3","63,354.9",61.60K,-1.13%,117,0.2495189914042339
52,2024-04-25,"64,497.1","64,287.1","65,247.5","62,889.2",80.77K,0.33%,116,0.2425471371288201
53,2024-04-24,"64,285.7","66,414.9","67,060.5","63,606.9",77.83K,-3.21%,115,0.2606923145636985
54,2024-04-23,"66,415.0","66,829.5","67,180.0","65,848.3",52.42K,-0.62%,114,0.2673230970878306
55,2024-04-22,"66,829.3","64,940.1","67,208.0","64,527.5",72.30K,2.91%,113,0.2800362721013969
56,2024-04-21,"64,940.2","64,942.1","65,680.6","64,267.5",42.02K,-0.03%,112,0.2415015302028211
57,2024-04-20,"64,961.1","63,817.6","65,375.6","63,131.7",49.33K,1.82%,111,0.2732753830182104
58,2024-04-19,"63,799.1","63,480.5","65,441.2","59,693.3",150.34K,0.50%,110,0.2130312393104925
59,2024-04-18,"63,481.4","61,278.9","64,092.4","60,822.3",97.38K,3.59%,109,0.2809713347731617
60,2024-04-17,"61,278.9","63,802.3","64,451.5","59,820.8",118.92K,-3.96%,108,0.2789736739571
61,2024-04-16,"63,805.3","63,416.1","64,274.4","61,715.6",114.96K,0.62%,107,0.2246565183164088
62,2024-04-15,"63,411.9","65,696.6","66,805.1","62,379.5",118.79K,-3.48%,106,0.2303076080660813
63,2024-04-14,"65,697.4","63,909.5","65,758.2","62,174.7",134.40K,2.89%,105,0.2362275932733637
64,2024-04-13,"63,849.9","67,137.4","67,921.0","61,065.5",149.48K,-4.92%,104,0.2213826863614381
65,2024-04-12,"67,151.9","70,014.9","71,226.9","65,829.3",131.84K,-4.08%,103,0.2348744328547882
66,2024-04-11,"70,011.6","70,620.4","71,249.2","69,586.1",72.51K,-0.86%,102,0.2422378396388067
67,2024-04-10,"70,622.1","69,147.8","71,086.9","67,570.0",97.71K,2.13%,101,0.2224948950967364
68,2024-04-09,"69,148.0","71,627.3","71,737.2","68,264.6",93.69K,-3.47%,100,0.302204697693704
69,2024-04-08,"71,630.1","69,358.0","72,710.8","69,110.5",105.78K,3.27%,99,0.3030654978710374
70,2024-04-07,"69,360.4","68,897.3","70,285.8","68,849.4",46.99K,0.68%,98,0.2219955420747432
71,2024-04-06,"68,890.6","67,830.5","69,632.0","67,467.2",41.48K,1.56%,97,0.203792323333106
72,2024-04-05,"67,830.6","68,498.7","68,692.2","66,023.3",88.97K,-0.97%,96,0.3501187701395316
73,2024-04-04,"68,496.5","65,968.4","69,238.8","65,096.3",100.30K,3.84%,95,0.2225219475978972
74,2024-04-03,"65,963.0","65,443.6","66,844.8","64,559.0",88.46K,0.80%,94,0.1957340599817374
75,2024-04-02,"65,439.2","69,662.7","69,673.0","64,628.4",152.87K,-6.07%,93,0.2678981105624218
76,2024-04-01,"69,664.4","71,329.3","71,329.3","68,175.9",94.05K,-2.34%,92,0.2859218544858628
77,2024-03-31,"71,332.0","69,608.5","71,367.5","69,576.6",42.45K,2.47%,91,0.2566298555991906
78,2024-03-30,"69,611.5","69,872.3","70,321.2","69,564.9",29.87K,-0.37%,90,0.2523014104209817
79,2024-03-29,"69,871.7","70,766.7","70,907.0","69,090.9",58.99K,-1.26%,89,0.1882727558066879
80,2024-03-28,"70,762.1","69,449.4","71,542.5","68,956.9",72.49K,1.90%,88,0.2073249260978276
